Session Information:,,,,Device Information:

Name:,JustGo-1111M,,,Name:,Sander's SpeedCoach
Start Time:,07/31/16 12:35pm,,,Model:,SpeedCoach GPS Pro
Type:,Just Go,,,Serial:,2136923
System of Units:,Meters/Split500,,,Firmware Version:,2.11
Speed Input:,GPS,,,Profile Version:,0.02
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.26

Session Summary:

Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
1,00:03:31.8,980.5,00:01:48.9,4.59,38.5,177,126
1,00:03:33.4,987.4,00:01:50.6,4.52,38.5,177,127
1,00:03:35.0,994.5,00:01:53.3,4.41,37.5,177,128
1,00:03:36.6,1001.8,00:01:54.4,4.37,36,177,129
1,00:03:44.4,1026.1,00:01:54.4,4.37,0,176,129
1,00:03:47.1,1029.4,00:04:25.9,1.88,22,143,130
1,00:03:49.8,1033.7,00:06:24.6,1.30,21,143,131
1,00:03:52.7,1038.3,00:05:28.9,1.52,21.5,142,132
1,00:03:55.5,1043.5,00:04:49.0,1.73,21,141,133
1,00:03:58.2,1048.3,00:04:27.3,1.87,21.5,140,134
1,00:04:01.1,1053.6,00:04:15.1,1.96,21,140,135
1,00:04:04.1,1059.2,00:04:10.0,2.00,21,140,136
1,00:04:06.7,1065.3,00:04:06.3,2.03,21.5,139,137
1,00:04:09.4,1071.0,00:04:05.0,2.04,22,138,138
1,00:04:12.3,1076.8,00:04:00.3,2.08,21.5,138,139
1,00:04:14.9,1082.5,00:03:58.0,2.10,22,139,140
1,00:04:17.9,1089.0,00:03:58.0,2.10,21,138,141
1,00:04:25.5,1100.7,00:03:58.0,2.10,0,135,141
1,00:04:28.5,1103.6,00:05:31.1,1.51,20,129,142
1,00:04:31.5,1108.0,00:07:03.7,1.18,22,129,143
1,00:04:33.9,1111.5,00:05:40.1,1.47,21.5,130,144
1,00:04:34.0,1111.5,00:05:40.1,1.47,21.5,130,144
