index,Stroke Number, ElapsedTime (sec), Horizontal (meters), Cadence (stokes/min), Stroke500mPace (sec/500m), Power (watts), HRCur (bpm), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveLength (meters), DriveTime (ms),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Force Curve Data Points (Newtons),TimeStamp (sec), StrokeDistance (meters), DragFactor, StrokeRecoveryTime (ms), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
10,11,31.0,122.0,21.0,128.0,170.0,0.0,676.78,453.72,1.21,610.0,41.18,276.77,151,121.01 121.01 282.37 425.79 528.88 560.25 560.25 587.14 609.55 636.44 631.96 649.89 640.93 640.93 636.44 654.37 672.3 645.41 636.44 605.07 591.62 569.21 537.84 484.06 425.79 416.83 363.04 336.15 277.88 255.47 201.69 170.32 85.16 67.23 ,1712902850.111983,0.0,0.0,0.0,3.90625,2018.2463784000001,3010.4663316,0,1.0,4.0,9,485.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,122.0,0.0,0.0,170.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
11,12,34.0,133.0,21.0,127.0,169.0,0.0,672.3,458.16,1.21,610.0,47.06,279.48,150,85.16 85.16 219.62 367.52 488.54 542.32 582.66 582.66 605.07 605.07 623.0 654.37 658.85 658.85 649.89 658.85 672.3 663.34 640.93 623.0 623.0 605.07 564.73 528.88 434.75 425.79 372.01 367.52 322.7 282.37 255.47 197.21 103.09 85.16 ,1712902853.111983,0.0,0.0,0.0,3.937007874015748,2037.9964752,2990.538306,0,1.0,4.0,10,482.85714285714283,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,133.0,0.0,169.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
12,13,37.0,144.0,22.0,127.0,173.0,0.0,667.82,458.16,1.21,610.0,47.06,279.48,149,147.91 147.91 295.81 448.2 528.88 573.7 573.7 591.62 623.0 631.96 645.41 649.89 649.89 654.37 663.34 658.85 667.82 663.34 623.0 627.48 600.59 582.66 555.77 493.02 421.31 376.49 380.97 304.78 300.29 259.96 233.06 183.76 94.12 35.86 ,1712902856.111983,0.0,0.0,0.0,3.937007874015748,2037.9964752,2970.6102804,0,1.0,4.0,12,471.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,144.0,0.0,0.0,173.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
13,14,40.0,155.0,22.0,126.0,172.0,0.0,685.75,467.06,1.27,630.0,47.06,294.25,153,94.12 94.12 228.58 394.42 497.5 551.29 551.29 582.66 600.59 627.48 631.96 631.96 649.89 649.89 654.37 658.85 676.78 672.3 685.75 672.3 654.37 640.93 605.07 578.18 493.02 461.65 407.86 403.38 327.19 331.67 255.47 255.47 138.94 76.19 49.3 ,1712902859.111983,0.0,0.0,0.0,3.9682539682539684,2077.5856332,3050.366865,0,1.0,4.0,13,469.09090909090907,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,155.0,0.0,0.0,172.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
14,15,43.0,166.0,22.0,126.0,175.0,0.0,667.82,462.61,1.18,590.0,51.43,272.94,149,174.8 174.8 340.63 461.65 537.84 560.25 573.7 573.7 605.07 614.03 623.0 618.52 623.0 627.48 667.82 667.82 645.41 640.93 627.48 618.52 605.07 551.29 533.36 493.02 434.75 376.49 372.01 295.81 300.29 233.06 224.1 174.8 94.12 ,1712902862.111983,0.0,0.0,0.0,3.9682539682539684,2057.7910542,2970.6102804,0,1.0,4.0,14,477.27272727272725,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,166.0,0.0,0.0,175.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
15,16,45.0,177.0,22.0,126.0,174.0,0.0,654.37,453.72,1.21,610.0,42.42,276.77,146,143.42 143.42 286.85 430.27 519.91 555.77 569.21 569.21 569.21 573.7 587.14 609.55 614.03 609.55 609.55 623.0 654.37 654.37 623.0 627.48 623.0 609.55 537.84 519.91 461.65 439.24 385.45 363.04 313.74 273.4 242.03 188.24 94.12 85.16 ,1712902864.111983,0.0,0.0,0.0,3.9682539682539684,2018.2463784000001,2910.7817214,0,1.0,4.0,14,474.54545454545456,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,177.0,0.0,0.0,174.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
16,17,48.0,188.0,22.0,126.0,169.0,0.0,515.43,355.86,1.18,620.0,47.06,220.63,115,85.16 85.16 210.65 345.11 434.75 475.09 475.09 484.06 484.06 493.02 501.98 501.98 497.5 510.95 497.5 515.43 497.5 484.06 484.06 484.06 484.06 466.13 443.72 403.38 372.01 349.6 309.26 268.92 237.55 201.69 174.8 143.42 71.71 35.86 35.86 ,1712902867.111983,0.0,0.0,0.0,3.9682539682539684,1582.9435692000002,2292.7460346,0,1.0,4.0,16,460.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,188.0,0.0,169.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
17,18,51.0,198.0,22.0,128.0,148.0,0.0,631.96,422.58,1.27,670.0,42.86,283.13,141,80.68 215.14 215.14 358.56 457.16 484.06 484.06 510.95 537.84 551.29 551.29 555.77 569.21 578.18 591.62 596.11 609.55 596.11 614.03 623.0 631.96 614.03 609.55 578.18 510.95 461.65 439.24 394.42 372.01 336.15 336.15 318.22 237.55 192.73 134.46 121.01 67.23 49.3 ,1712902870.111983,0.0,0.0,0.0,3.90625,1879.7288076,2811.0971112,0,1.0,4.0,17,403.6363636363636,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,198.0,0.0,148.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
18,19,54.0,209.0,21.0,133.0,161.0,0.0,618.52,435.92,1.21,620.0,52.63,270.27,138,152.39 300.29 300.29 425.79 493.02 524.39 542.32 542.32 587.14 591.62 573.7 573.7 591.62 591.62 600.59 605.07 600.59 618.52 614.03 614.03 587.14 578.18 510.95 506.47 448.2 376.49 358.56 322.7 282.37 268.92 219.62 179.28 85.16 76.19 ,1712902873.111983,0.0,0.0,0.0,3.7593984962406015,1939.0680624000001,2751.3130344,0,1.0,4.0,18,460.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,209.0,0.0,161.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
19,20,56.0,219.0,22.0,129.0,166.0,0.0,649.89,458.16,1.18,600.0,50.0,274.9,145,125.5 125.5 282.37 434.75 528.88 564.73 564.73 587.14 614.03 618.52 640.93 640.93 627.48 645.41 627.48 645.41 636.44 640.93 618.52 587.14 573.7 555.77 537.84 488.54 416.83 354.08 345.11 313.74 282.37 268.92 201.69 192.73 103.09 ,1712902875.111983,0.0,0.0,0.0,3.875968992248062,2037.9964752,2890.8536958,0,1.0,4.0,18,452.72727272727275,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,219.0,0.0,166.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
20,21,59.0,230.0,22.0,128.0,171.0,0.0,627.48,431.48,1.24,630.0,39.39,271.83,140,94.12 94.12 215.14 380.97 493.02 564.73 564.73 569.21 596.11 605.07 605.07 600.59 591.62 591.62 609.55 627.48 618.52 614.03 609.55 591.62 587.14 560.25 546.8 510.95 430.27 389.93 376.49 313.74 309.26 259.96 246.51 188.24 125.5 94.12 49.3 ,1712902878.111983,0.0,0.0,0.0,3.90625,1919.3179656000002,2791.1690856,0,1.0,4.0,20,466.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,230.0,0.0,0.0,171.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
21,22,62.0,241.0,22.0,127.0,171.0,0.0,645.41,444.82,1.21,610.0,42.86,271.34,144,121.01 268.92 268.92 425.79 533.36 564.73 578.18 578.18 596.11 618.52 614.03 618.52 623.0 636.44 636.44 627.48 645.41 631.96 614.03 596.11 564.73 564.73 546.8 510.95 412.34 394.42 322.7 318.22 250.99 255.47 219.62 206.17 103.09 85.16 ,1712902881.111983,0.0,0.0,0.0,3.937007874015748,1978.6572204,2870.9256702,0,1.0,4.0,21,466.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,241.0,0.0,0.0,171.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
22,23,65.0,251.0,22.0,127.0,171.0,0.0,623.0,444.82,1.18,600.0,47.06,266.89,139,174.8 331.67 331.67 457.16 533.36 569.21 564.73 578.18 600.59 605.07 609.55 591.62 600.59 623.0 609.55 600.59 600.59 614.03 578.18 569.21 569.21 551.29 524.39 484.06 407.86 380.97 354.08 300.29 291.33 219.62 210.65 143.42 76.19 ,1712902884.111983,0.0,0.0,0.0,3.937007874015748,1978.6572204,2771.24106,0,1.0,4.0,22,466.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,251.0,0.0,0.0,171.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
23,24,67.0,262.0,22.0,127.0,170.0,0.0,654.37,453.72,1.21,610.0,39.39,276.77,146,125.5 259.96 259.96 412.34 510.95 551.29 569.21 569.21 600.59 618.52 609.55 614.03 623.0 640.93 640.93 627.48 654.37 649.89 636.44 623.0 591.62 582.66 555.77 515.43 412.34 416.83 372.01 358.56 313.74 264.44 246.51 179.28 103.09 76.19 ,1712902886.111983,0.0,0.0,0.0,3.937007874015748,2018.2463784000001,2910.7817214,0,1.0,4.0,22,463.6363636363636,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,262.0,0.0,0.0,170.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
24,25,70.0,273.0,22.0,127.0,172.0,0.0,654.37,444.82,1.21,610.0,47.06,271.34,146,134.46 295.81 295.81 416.83 510.95 533.36 551.29 569.21 600.59 596.11 596.11 596.11 605.07 600.59 640.93 627.48 654.37 631.96 609.55 605.07 596.11 582.66 551.29 506.47 425.79 398.9 372.01 327.19 327.19 246.51 246.51 170.32 94.12 58.27 ,1712902889.111983,0.0,0.0,0.0,3.937007874015748,1978.6572204,2910.7817214,0,1.0,4.0,24,469.09090909090907,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,273.0,0.0,0.0,172.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
25,26,73.0,284.0,22.0,127.0,173.0,0.0,658.85,444.82,1.24,630.0,47.06,280.24,147,116.53 250.99 250.99 389.93 501.98 533.36 564.73 564.73 600.59 623.0 627.48 627.48 627.48 645.41 645.41 654.37 658.85 654.37 636.44 618.52 596.11 582.66 573.7 519.91 457.16 389.93 385.45 336.15 313.74 282.37 215.14 206.17 138.94 58.27 67.23 ,1712902892.111983,0.0,0.0,0.0,3.937007874015748,1978.6572204,2930.7097470000003,0,1.0,4.0,25,471.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,284.0,0.0,0.0,173.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
26,27,75.0,294.0,22.0,126.0,174.0,0.0,672.3,444.82,1.24,630.0,45.71,280.24,150,89.64 210.65 210.65 358.56 470.61 528.88 546.8 569.21 591.62 623.0 640.93 636.44 640.93 654.37 672.3 663.34 663.34 658.85 640.93 618.52 605.07 605.07 600.59 546.8 466.13 398.9 385.45 340.63 318.22 291.33 233.06 215.14 147.91 67.23 67.23 ,1712902894.111983,0.0,0.0,0.0,3.9682539682539684,1978.6572204,2990.538306,0,1.0,4.0,25,474.54545454545456,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,294.0,0.0,0.0,174.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
27,28,78.0,306.0,22.0,126.0,173.0,0.0,676.78,458.16,1.24,630.0,40.0,288.64,151,94.12 94.12 210.65 367.52 484.06 551.29 551.29 582.66 636.44 654.37 649.89 649.89 658.85 658.85 676.78 672.3 672.3 672.3 663.34 618.52 614.03 605.07 596.11 546.8 452.68 425.79 389.93 340.63 327.19 277.88 250.99 201.69 138.94 94.12 76.19 ,1712902897.111983,0.0,0.0,0.0,3.9682539682539684,2037.9964752,3010.4663316,0,1.0,4.0,26,471.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,306.0,0.0,0.0,173.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
28,29,81.0,317.0,21.0,127.0,174.0,0.0,658.85,453.72,1.21,610.0,40.0,276.77,147,179.28 179.28 313.74 443.72 510.95 551.29 551.29 573.7 623.0 627.48 618.52 609.55 649.89 649.89 640.93 645.41 658.85 631.96 645.41 605.07 605.07 578.18 528.88 501.98 416.83 389.93 354.08 322.7 291.33 250.99 224.1 170.32 67.23 67.23 ,1712902900.111983,0.0,0.0,0.0,3.937007874015748,2018.2463784000001,2930.7097470000003,0,1.0,4.0,28,497.14285714285717,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,317.0,0.0,0.0,174.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
29,30,84.0,327.0,22.0,126.0,173.0,0.0,649.89,453.72,1.21,610.0,47.06,276.77,145,121.01 246.51 246.51 389.93 479.57 542.32 573.7 600.59 605.07 627.48 623.0 631.96 631.96 627.48 640.93 649.89 649.89 640.93 649.89 614.03 609.55 605.07 578.18 542.32 457.16 398.9 394.42 345.11 300.29 282.37 215.14 233.06 121.01 40.34 ,1712902903.111983,0.0,0.0,0.0,3.9682539682539684,2018.2463784000001,2890.8536958,0,1.0,4.0,29,471.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,327.0,0.0,0.0,173.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
30,31,87.0,339.0,22.0,125.0,180.0,0.0,779.87,515.99,1.36,650.0,44.12,335.39,174,107.57 233.06 233.06 394.42 528.88 587.14 636.44 658.85 685.75 717.12 721.6 735.05 726.08 752.98 757.46 748.49 761.94 779.87 766.42 735.05 730.57 685.75 685.75 627.48 551.29 497.5 484.06 421.31 425.79 372.01 354.08 304.78 237.55 183.76 156.87 85.16 85.16 ,1712902906.111983,0.0,0.0,0.0,4.0,2295.2370378,3469.0333314,0,1.0,4.0,30,490.90909090909093,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,339.0,0.0,0.0,180.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,32,89.0,348.0,22.0,125.0,220.0,0.0,766.42,511.54,1.3,590.0,45.95,301.81,171,188.24 340.63 461.65 461.65 564.73 605.07 636.44 663.34 721.6 752.98 735.05 744.01 748.49 752.98 735.05 766.42 739.53 712.64 703.67 681.26 667.82 596.11 569.21 501.98 434.75 358.56 331.67 300.29 255.47 242.03 143.42 152.39 76.19 ,1712902908.111983,0.0,0.0,0.0,4.0,2275.4424588,3409.2047724,0,1.0,4.0,30,600.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,348.0,0.0,0.0,0.0,220.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,33,91.0,358.0,26.0,117.0,240.0,0.0,757.46,511.54,1.3,570.0000000000001,45.45,291.58,169,192.73 345.11 452.68 452.68 555.77 618.52 640.93 645.41 699.19 730.57 730.57 744.01 739.53 748.49 757.46 726.08 690.23 685.75 649.89 623.0 614.03 551.29 515.43 475.09 430.27 385.45 345.11 322.7 255.47 192.73 170.32 112.05 ,1712902910.111983,0.0,0.0,0.0,4.273504273504273,2275.4424588,3369.3487212,0,1.0,4.0,31,553.8461538461538,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,358.0,0.0,0.0,0.0,0.0,240.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,34,93.0,368.0,27.0,113.0,253.0,0.0,788.83,507.09,1.33,580.0,43.75,294.11,176,116.53 233.06 376.49 484.06 484.06 569.21 605.07 618.52 676.78 721.6 735.05 757.46 788.83 752.98 770.9 757.46 748.49 708.16 703.67 672.3 667.82 600.59 564.73 515.43 466.13 354.08 331.67 286.85 273.4 224.1 188.24 174.8 ,1712902912.111983,0.0,0.0,0.0,4.424778761061947,2255.6478798,3508.8893826000003,0,1.0,4.0,32,562.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,368.0,0.0,0.0,0.0,0.0,253.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,35,95.0,378.0,28.0,111.0,260.0,0.0,788.83,511.54,1.3,570.0000000000001,37.5,291.58,176,129.98 129.98 259.96 380.97 479.57 528.88 555.77 582.66 654.37 685.75 690.23 726.08 739.53 757.46 779.87 784.35 748.49 770.9 721.6 694.71 640.93 609.55 546.8 519.91 448.2 416.83 336.15 300.29 264.44 215.14 179.28 89.64 ,1712902914.111983,0.0,0.0,0.0,4.504504504504505,2275.4424588,3508.8893826000003,0,1.0,4.0,33,557.1428571428571,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,378.0,0.0,0.0,0.0,0.0,260.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,36,98.0,388.0,27.0,111.0,258.0,0.0,730.57,475.96,1.24,540.0,46.88,257.02,163,143.42 282.37 407.86 501.98 533.36 591.62 591.62 596.11 658.85 694.71 690.23 694.71 730.57 685.75 676.78 672.3 645.41 596.11 573.7 533.36 528.88 484.06 457.16 407.86 367.52 313.74 246.51 246.51 192.73 134.46 121.01 ,1712902917.111983,0.0,0.0,0.0,4.504504504504505,2117.1747912,3249.7360854000003,0,1.0,4.0,35,573.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,388.0,0.0,0.0,0.0,0.0,258.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,37,100.0,399.0,27.0,111.0,202.0,0.0,331.67,240.2,1.09,570.0000000000001,38.71,136.92,74,138.94 206.17 206.17 255.47 286.85 295.81 291.33 282.37 286.85 295.81 300.29 309.26 304.78 313.74 313.74 313.74 331.67 322.7 313.74 300.29 309.26 268.92 259.96 259.96 237.55 206.17 183.76 165.83 129.98 112.05 85.16 62.75 ,1712902919.111983,0.0,0.0,0.0,4.504504504504505,1068.462444,1475.3411274,0,1.0,4.0,35,448.8888888888889,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,399.0,0.0,0.0,202.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,38,103.0,410.0,21.0,120.0,126.0,0.0,322.7,244.65,1.15,690.0000000000001,50.0,168.81,72,89.64 89.64 161.35 242.03 295.81 295.81 313.74 318.22 318.22 313.74 309.26 322.7 322.7 309.26 318.22 309.26 318.22 313.74 322.7 318.22 318.22 309.26 309.26 304.78 309.26 300.29 286.85 264.44 264.44 246.51 246.51 237.55 183.76 165.83 129.98 129.98 94.12 67.23 35.86 ,1712902922.111983,0.0,0.0,0.0,4.166666666666667,1088.2570230000001,1435.440594,0,1.0,4.0,36,360.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,410.0,0.0,126.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
